T10ºC_1	T10ºC_2	T10ºC_3	T14ºC_1	T14ºC_2	T14ºC_3	T20ºC_1	T20ºC_2	T20ºC_3	T26ºC_1	T26ºC_2	T26ºC_3	T24ºC_1	T24ºC_2	T24ºC_3
25.925436	36.8881	41.783054	35.38752	40.131046	43.336163	64.739204	65.485413	57.792385	55.425747	56.15686	59.649406	91.400452	78.915321	91.762222
73.786324	86.624619	103.265022	127.209312	137.848373	150.778793	139.040619	143.163651	179.486023	201.203217	171.414749	193.305405	87.855873	82.883774	113.921478
90.322594	93.090042	93.222313	73.327332	80.861038	87.573708	96.019356	111.096542	103.184792	110.756233	106.082817	102.459763	61.481663	55.44062	59.074772
32.702761	34.386429	36.317539	28.067329	30.066816	31.317244	34.986576	27.961353	32.198071	45.235626	44.189682	41.801723	15.142825	11.026715	12.039739
21.130545	20.54464	16.748975	17.018236	19.161352	14.369226	18.258909	19.346241	16.230136	21.774773	23.141903	22.024546	9.144377	7.382857	7.472579
13.893168	18.847691	23.914211	19.115755	20.3538	20.209356	25.578032	22.99004	19.639982	26.354666	26.861982	27.208826	7.621186	4.954582	4.956115
1.731281	1.48851	1.670759	1.286542	1.436817	1.471706	1.701995	1.916593	2.086828	1.506394	2.261329	1.77145	10.841242	2.045834	1.642705
173.95372	191.795761	189.20665	226.293991	220.166443	231.258774	355.895447	263.66156	242.235916	247.570786	233.911041	229.390228	257.9086	185.52179	212.301575
67.129677	64.78743	70.773132	47.830547	48.992695	43.571468	56.453793	63.961414	60.213272	65.657806	65.732834	66.959427	24.894201	26.187414	25.917208
11.291978	11.194884	26.186451	35.429497	31.340254	42.420101	29.017622	16.460011	17.331827	58.679836	42.759407	41.944855	12.240648	9.93419	11.707575
25.781208	27.536592	27.897587	20.221651	26.445234	24.988218	23.033234	16.896074	18.10903	32.851109	34.686619	34.132446	14.338053	12.15562	13.847584
27.105837	23.863644	22.262091	33.310169	34.786346	35.748657	33.205578	29.411703	30.708389	31.656284	32.855555	31.300251	46.06765	36.883389	35.102394
26.525166	25.585516	24.124352	20.866039	21.71718	21.244198	29.00823	26.002481	26.512157	28.497772	27.830721	29.41058	13.896566	14.989761	15.054655
207.361084	185.36644	175.306763	197.785309	213.398865	211.7453	133.281418	82.241028	79.85041	115.159531	109.37989	108.676765	61.419128	39.134521	41.397694
15.37051	16.708236	21.095102	13.521894	18.646152	16.254644	18.936304	18.961092	17.317335	15.655961	17.465797	19.665236	8.200262	5.633953	4.756985
39.273094	48.172245	55.285698	65.473312	64.70438	63.307911	54.836651	55.101025	46.612793	46.717297	43.955833	45.429272	18.700642	22.740408	23.609699
15.297659	13.640875	13.527978	9.27753	9.004498	8.252252	16.662953	18.830606	19.434519	28.382339	28.122532	26.94742	34.448177	44.239185	46.364838
59.239899	60.551601	105.806816	97.567253	111.192093	122.783371	148.156509	171.050079	190.608154	235.510468	222.68602	213.213669	176.576736	160.577286	191.36969
61.384743	61.911095	59.008221	52.511467	54.33334	58.86581	65.9058	61.081303	55.995804	42.660309	40.090477	44.453358	40.130623	28.8389	27.940983
20.284367	18.436773	24.129457	25.150234	26.715811	32.728733	32.699339	30.13331	29.375273	33.841484	32.354822	40.930367	37.001526	31.661558	33.698719
135.615051	130.65509	121.60643	120.176666	127.409767	127.772842	106.278778	118.63533	127.912056	101.746277	100.295921	102.119949	86.644051	85.250977	86.345543
54.51371	51.638672	58.547157	44.780125	52.727779	55.167534	53.369007	60.920406	69.709503	72.245262	59.545124	63.902256	37.744648	28.552299	37.311493
46.471786	60.49556	75.136986	76.664085	75.262268	88.646126	84.963333	86.337868	73.741043	75.37825	76.135651	85.682465	104.329697	76.024658	90.614418
96.785309	88.260719	92.503242	79.19429	87.557724	89.146088	77.86245	87.080505	84.916565	88.521805	76.443535	89.724144	183.44577	120.738922	151.163559
59.782856	50.212124	53.340157	47.982624	48.856396	50.550076	37.519142	31.026138	31.15093	34.608738	32.377115	34.567062	14.587388	14.435854	15.702504
21.371616	21.018213	19.121532	19.769567	20.908228	20.726654	36.167992	26.564445	25.234196	38.374977	37.214611	33.651836	8.64211	8.521046	7.03455
27.119772	25.561144	25.538788	24.200899	24.317623	23.632694	30.216866	27.148855	25.047031	30.54789	30.967218	31.359461	50.433662	53.124939	43.665565
31.98996	33.807659	38.620056	27.068665	32.96451	34.870941	43.832706	67.094345	60.112038	54.388493	45.906979	52.937893	50.380768	46.377361	61.025261
44.839039	34.418739	41.492874	32.508982	34.410751	41.086319	41.156555	46.659168	37.53426	38.683056	34.425259	37.600147	42.461586	39.736935	38.931866
569.653503	514.720093	498.295471	468.241669	458.104584	407.797333	545.32312	651.023132	644.952637	947.665588	953.359924	958.173096	825.473877	857.395142	843.976624
202.464188	248.685791	470.868042	383.570312	423.155792	541.279785	413.419006	360.546753	387.914062	494.733154	418.388092	439.729797	524.458496	342.538177	419.367828
236.304062	221.148727	196.098633	194.027145	201.698776	202.913574	196.970428	185.25589	174.610107	158.065491	171.399338	172.092041	284.148651	238.873657	223.118942
178.335678	171.502502	147.558762	170.554855	162.053238	161.404343	191.417252	183.645828	180.448029	158.277451	160.43042	154.674637	177.036545	165.112823	131.32402
61.030479	64.481327	61.902584	65.043533	63.679249	62.015205	70.407394	71.861839	65.6063	58.156284	58.910301	60.49342	67.515343	68.328957	59.476765
23.602358	19.975393	21.970186	16.304386	15.137579	13.102465	29.31852	27.868364	31.637682	36.721603	47.145081	35.172119	51.035301	49.728676	62.319679
26.579416	22.149311	33.999004	28.888575	24.83717	29.533691	58.084541	51.182064	39.787083	50.741028	48.846169	65.041161	36.468796	32.213116	37.508934
34.716999	37.918762	38.290684	29.612135	33.69873	27.937265	44.623089	37.995724	34.78289	60.60379	54.607731	70.997185	31.711218	25.726034	31.641027
43.758801	77.206718	82.744415	126.694893	131.950455	126.317108	139.851135	120.183281	148.151047	154.482132	147.217453	150.09967	55.893154	54.128414	76.686584
31.54561	31.286674	33.380333	12.756965	12.127826	11.047471	21.578363	26.888712	27.5504	48.550468	40.040665	34.838234	63.011135	91.153809	93.712082
21.842041	22.832539	27.299747	19.091972	22.90659	23.117504	21.344374	31.458397	24.450445	17.587759	13.501857	17.184347	17.529177	17.556923	18.243877
35.31567	39.836723	41.379848	47.257961	48.700439	51.129879	35.131142	34.81926	35.754887	26.528263	24.787336	23.011156	14.194408	15.311545	14.533163
22.71188	22.773224	23.428158	19.438086	22.824425	27.982916	26.932796	19.911455	18.845547	29.720186	30.654587	26.371319	13.915455	14.45996	16.589503
49.021992	47.110165	53.414486	52.288074	48.966228	56.425777	47.301041	40.895641	50.392094	47.534378	47.647972	49.281982	19.7227	19.836746	21.415195
161.630981	158.487549	123.819237	215.788406	224.2659	229.411758	283.854279	233.728973	288.506012	194.253189	203.701126	166.600128	49.093723	41.016064	31.542585
19.206379	15.007611	13.077643	14.673496	14.136972	14.680607	24.168879	15.795848	13.165746	24.628143	26.15605	21.647263	5.065657	4.178419	4.306214
73.677513	70.42646	90.154106	64.844936	57.759781	52.469986	34.51128	18.13657	27.014528	43.924309	48.152237	51.384968	22.33235	17.99641	18.831926
18.561314	16.385321	16.161731	13.938282	12.240971	12.905775	19.6623	19.448753	16.596703	21.906815	22.001581	22.620893	17.471672	20.868093	22.030754
48.977112	50.106804	40.84343	42.265102	39.127354	49.45853	24.647522	24.551039	28.829861	43.426609	47.691593	44.137054	39.692028	45.705036	37.879784
106.699402	111.90554	107.89418	248.931641	244.114868	265.558258	163.340485	133.916306	144.911652	165.340775	154.865143	167.67189	126.579926	116.174225	126.072411
36.651928	37.13311	34.70993	25.061802	26.288343	26.21771	36.479454	27.40826	29.651985	34.55547	37.041992	38.711178	29.837915	24.772827	23.75845
38.364986	42.643841	44.924843	29.924719	40.437363	43.736824	44.960129	51.001644	48.88047	47.354027	48.143745	54.554527	81.12989	62.722446	66.159332
106.542915	94.697105	96.47747	64.096676	58.150986	58.732285	77.528137	108.830322	101.946724	131.613113	135.665894	151.654785	290.374847	342.734955	317.011444
36.776196	36.756088	32.392103	31.466352	32.849743	36.607403	34.333866	29.882517	27.278788	36.665276	34.208557	34.521519	32.588528	32.493029	29.063461
10.016223	11.341396	11.395987	13.779531	14.923249	16.188015	22.57539	23.616722	20.62862	21.633812	21.599476	22.728401	13.563813	11.236305	10.711115
11.926131	13.50965	13.612121	13.409391	11.911728	14.680787	16.047381	13.32466	10.281645	11.931681	13.190254	12.816671	6.099577	5.090902	5.112286
40.426628	36.073997	31.915789	36.887478	36.604542	35.493958	27.636599	21.976519	22.538052	25.686525	27.637909	28.190014	23.077383	23.592104	24.08749
19.054144	19.174873	23.978647	16.93099	18.263775	21.483604	15.0557	16.510658	14.754044	26.153837	21.953156	25.023094	11.666544	12.623881	15.637736
15.299883	13.098499	13.452685	11.968672	15.164293	14.05724	18.652285	13.39626	13.352463	24.852907	21.853987	23.59008	6.984189	7.94221	7.946682
37.62772	34.51302	35.463223	46.147888	45.009785	44.405743	63.624493	58.036644	68.553383	52.151947	50.15773	54.321457	43.24736	35.987209	34.752262
35.195831	41.296753	44.381348	37.115356	36.606625	40.70805	41.858246	29.731489	24.46306	59.759068	64.461708	59.585655	9.735085	10.401591	9.499736
62.437031	51.521751	51.593414	49.403404	50.791409	44.592628	47.992649	43.048862	38.610703	49.368988	49.879047	48.96225	61.22913	64.577461	61.963131
11.076607	10.470001	12.187728	6.342371	5.787675	5.812671	8.987204	10.285906	8.573987	11.526438	12.630116	11.532014	17.868071	22.47015	15.460837
802.60083	688.771545	719.176514	956.649292	921.994934	876.668213	796.085022	704.087952	759.479126	1123.382324	1081.04541	1069.101318	694.994751	610.249634	692.797729
10.682739	8.009262	10.174872	13.239779	15.48339	15.501629	12.660011	10.077139	15.39032	14.318762	17.390707	15.93361	15.654981	8.923775	7.450864
9.610328	11.556305	11.347326	12.274761	13.196763	14.765552	13.480257	11.542699	8.772756	6.970158	9.589646	9.302147	3.632354	3.164004	2.856132
138.584473	135.806976	172.728073	97.359245	89.184349	96.058029	155.919296	177.222061	166.315704	191.656433	198.649841	195.852585	161.264435	160.105591	181.350006
9.242372	7.377632	8.840233	10.732327	8.199784	13.159431	17.989954	12.516273	12.694022	13.180042	13.326097	9.7982	8.936994	8.101847	8.069457
137.852661	133.36882	127.791107	72.132256	79.242615	89.264633	112.595741	105.30265	121.945038	113.069443	106.553612	107.299072	60.384369	63.51561	66.265923
679.421997	633.800781	624.476746	450.249847	394.234802	388.99176	373.810211	388.878967	421.463562	389.136169	406.624451	370.288544	353.822754	427.248932	309.058746
50.808983	58.716961	64.746956	31.998234	32.374399	30.579714	38.951324	64.062096	65.619919	88.138977	96.616272	87.375061	167.886169	200.852081	282.046082
33.557755	38.376232	44.133724	40.076378	39.559631	44.704716	61.336266	72.054535	59.161327	62.407192	56.196922	56.909153	116.624763	142.498795	173.854477
14.173639	13.253021	15.729426	15.184674	15.215726	15.749646	17.471689	17.370123	14.979736	17.984697	17.249033	15.285397	8.382687	7.80718	7.42442
50.542614	54.011135	51.854477	48.601547	50.9533	50.222279	61.395973	55.169792	54.811436	48.794914	51.588402	49.139797	56.557819	56.162312	46.794933
103.038788	93.477936	105.256882	49.979954	47.276047	43.815277	56.855663	57.363564	55.456043	78.230804	81.349037	81.999634	182.832855	217.195267	207.338303
41.618271	31.671141	32.36862	41.058529	45.162788	43.346024	42.437656	35.209869	40.486427	38.225487	41.723057	42.356556	24.094847	20.924917	18.029785
34.670193	31.245756	28.746456	31.446766	29.190575	31.093842	36.415073	27.083406	27.321245	27.680275	25.612503	26.436026	15.445231	16.694016	13.934628
120.569702	117.097458	108.754189	104.44902	101.190712	95.679123	133.652725	152.389374	153.378967	62.340797	63.441177	59.539452	77.456459	72.78669	61.046165
79.85936	81.055588	69.518715	65.621429	69.334984	74.208855	66.86187	69.233856	56.406128	74.175758	69.985725	60.288895	38.022961	37.203304	39.72971
10.779576	10.799738	12.846254	10.100948	9.059048	9.891315	9.451978	6.94748	5.887788	17.755053	17.445602	15.341212	1.997387	1.458753	1.239782
726.373962	836.834839	949.821655	1044.27771	1002.099976	963.450195	1678.678467	2049.268799	1961.155396	2018.426025	2067.290283	2199.95459	2529.638428	2515.413818	2595.10791
576.157227	630.782837	595.203064	444.36557	437.368927	448.884369	569.27832	661.708984	496.273071	405.223938	414.792572	435.976898	725.732483	862.190491	865.069031
461.116882	499.275757	514.931885	305.499756	283.393188	323.015411	235.507828	233.474014	212.599289	316.698792	292.231049	323.066467	432.852539	445.324677	630.434753
55.66061	46.892456	52.616524	49.016499	55.158367	58.210197	46.732002	32.361807	36.863007	62.381115	65.905098	65.42849	14.477889	8.061314	9.130562
117.863319	109.740532	101.398308	95.187698	104.492767	99.66143	113.616653	109.352867	116.235016	84.555	88.696869	85.544548	73.767044	69.614372	76.3405
12.751785	25.811684	29.706324	29.975136	31.698666	34.296005	42.524361	29.014599	31.042704	37.302391	37.781044	35.914303	14.033756	12.042923	12.212115
32.150185	42.376324	48.034149	48.150539	52.861744	54.636162	56.378941	53.049118	65.706261	58.063641	58.794975	65.050323	30.392727	30.151775	34.04348
152.749268	189.038971	217.734436	259.663788	269.085205	318.811432	227.081604	239.057999	234.454056	167.665405	165.610123	183.185532	149.370102	122.700867	142.852142
51.665318	50.427177	53.085621	36.389214	47.87862	55.095856	34.985546	31.333361	30.290806	29.464821	26.602385	36.18845	46.956745	32.778786	32.41659
159.214523	146.785004	155.673645	119.714958	114.922203	110.593834	133.095932	131.281784	128.783501	88.805511	91.316902	84.470825	66.866913	73.896233	60.860863
101.97937	99.216759	97.777954	76.952621	77.513863	77.95266	78.892181	68.504951	64.78191	66.362961	67.320709	66.096298	64.471138	71.366768	61.734791
123.402588	149.272095	153.910049	121.776016	127.653114	129.949066	117.973679	152.981934	153.537186	128.102966	125.612282	137.468719	206.29274	268.048401	335.048065
31.591888	43.367947	38.295219	58.068901	64.565533	71.628914	73.961456	63.582115	67.213417	71.437202	69.568626	73.549088	31.756073	25.635302	27.982147
33.756073	47.214569	46.114845	54.567059	62.916348	67.016205	85.175552	77.066734	78.599541	75.324524	74.559036	72.616364	15.919971	12.790119	18.351381
16.09276	12.697699	16.204778	15.470481	16.54033	15.982362	15.167423	16.981311	12.301208	15.44291	17.165045	17.44846	12.491591	12.612908	12.041738
25.895214	26.850809	25.769918	21.940693	23.881708	23.473152	17.435879	18.102802	15.649798	17.913639	16.595915	16.932914	5.750584	6.10529	6.029389
246.258438	217.634399	230.547302	204.062973	232.635849	217.829025	228.528259	187.604614	209.100449	194.792175	196.97287	191.394028	59.016453	46.295219	48.395203
72.666801	68.133804	74.281189	82.357109	85.338409	88.480331	80.206963	69.370918	72.944656	78.687126	77.562981	88.486862	34.708786	33.615112	31.250683
34.261543	46.734077	64.538437	42.215549	42.6492	61.121304	42.577385	41.512375	40.237518	45.444023	53.493954	49.26379	108.035736	117.981453	134.645615
113.746773	168.967056	252.939163	502.956207	528.850159	604.09137	657.608032	600.888916	654.681335	603.593262	563.893005	613.045593	218.714249	195.690353	251.186462
187.844208	190.257538	188.088959	245.644897	282.800629	311.24826	284.585968	285.632904	329.863007	305.570831	299.70694	289.922729	128.197487	117.496056	146.828308
140.512665	149.175507	129.792938	76.263985	72.497169	66.188652	86.268303	125.796432	109.841858	137.653076	142.303589	144.012283	206.915863	242.357941	243.648575
33.602818	29.114338	36.575775	40.939941	42.015266	35.739262	42.763744	43.056862	37.851822	60.598152	58.08593	57.785015	28.44409	25.284039	23.855354
2.129439	2.276299	2.320979	2.813708	1.25242	1.582164	1.456327	1.059045	1	1.033481	2.204346	1.953088	1.638533	2.069468	1.321563
47.58194	36.402958	41.383751	35.145889	36.455242	37.40834	49.485725	51.232059	55.085709	54.649868	48.550617	45.06234	18.577085	13.915712	14.346622
24.718449	29.005838	29.803864	31.700226	34.129536	30.012741	41.271152	37.513199	33.654099	40.627979	42.369896	41.180767	14.310034	14.625717	14.617052
21.276329	20.986452	18.686678	17.180525	16.189102	16.187753	19.956291	21.42676	18.934805	20.018898	21.111511	16.644086	4.064682	4.478476	3.469388
24.394587	35.740055	44.562111	35.510105	45.625534	44.094547	44.668552	48.622707	44.183437	54.77206	55.337807	60.742043	14.976093	16.487068	16.12669
169.779709	158.351227	154.076263	227.557175	226.931198	224.903244	206.604538	200.554718	210.982635	265.29126	264.174744	265.897156	363.639435	357.121826	377.710388
48.511497	66.748291	85.623482	74.841492	72.180222	79.435783	71.417732	70.154678	89.379692	138.955246	114.25869	119.03672	80.889923	77.759659	99.337791
51.60215	49.673985	42.080864	34.854248	34.614635	34.424286	34.919216	30.640137	30.439091	31.760515	32.899717	29.733067	42.092533	39.890961	31.476429
14.257074	14.32961	15.279625	14.779468	14.982852	15.131397	20.243057	17.023382	14.499129	17.84687	16.234898	16.946447	14.550205	15.168296	13.099553
143.366486	169.326599	156.416946	121.244919	120.930473	123.959198	65.520477	65.128708	68.965172	83.952164	86.847893	84.370567	79.420944	81.077332	91.208481
61.704403	60.957539	62.589382	48.539501	52.46851	58.237099	67.528053	79.527306	76.367203	71.181305	67.616928	76.553337	157.021484	140.226196	160.939804
1.150122	1.16598	1.106965	1.064732	1.030587	1.013514	1.027154	1	1	1.043469	1.077833	1.029241	1	1.030542	1.00979
13.340367	14.075016	13.469625	13.360895	13.314658	13.66208	10.403376	8.581813	6.024664	20.222567	20.004375	16.893364	3.393227	3.480832	2.912975
1.147737	1.306957	1.402474	1.15877	1.077086	1.216129	1.069172	1.108695	1.153811	1.121064	1.112879	1.168564	1.08428	1.009634	1.026179
35.747749	38.736008	41.188469	42.426559	44.41256	48.675053	55.624523	52.750099	58.401497	46.42717	46.869659	47.88308	28.407446	26.885347	25.390549
1.355826	1.505127	1.487788	1.288264	1.175134	1.294991	1.239079	1.470937	1.251279	1.262049	1.239598	1.352477	1.278863	1.539825	1.293528
44.911339	49.083366	63.2672	64.144062	61.592228	56.11385	60.857693	63.158405	60.905239	82.289749	77.904976	65.873466	39.389549	33.53146	40.360977
59.12812	56.450279	57.725407	33.678234	35.694847	35.849155	51.324268	54.033707	45.893909	57.531349	57.788387	57.419262	84.346138	96.485909	109.06028
48.738613	49.853966	46.251465	27.476894	29.642664	30.53768	53.50967	56.763668	52.454983	57.873341	62.879818	63.753361	137.9991	163.948959	191.190201
28.469107	32.686689	28.907635	52.854919	46.040932	46.596657	70.624634	53.008091	54.163837	58.578114	59.190266	50.336628	17.989862	20.033745	23.736235
34.074276	33.504509	32.131035	27.028833	27.683071	23.13344	33.779324	31.63483	25.429768	34.706799	36.082977	36.180618	16.561414	23.698156	19.476639
57.731434	49.374092	57.020775	40.172932	37.703522	40.61755	69.002747	60.839035	56.325615	76.916763	76.775261	76.298508	86.330818	85.672653	86.023727
52.827492	44.394962	43.031055	40.283791	38.689617	37.602524	45.097122	47.446186	43.804829	42.671631	45.019562	44.910118	23.842617	27.46492	25.794409
50.878334	50.300167	61.810673	54.82235	67.148415	59.717014	67.915863	72.583496	72.27964	98.159714	86.461288	88.218964	50.642151	36.674896	42.777992
121.84568	127.371719	136.546829	76.333084	80.519432	86.522385	69.767334	86.001038	83.524086	64.670773	62.958801	67.587929	98.986031	140.614151	155.992065
25.025311	24.597027	24.897598	17.425196	18.197395	16.247579	24.993542	29.115393	30.32028	30.564169	28.466702	31.814098	40.061558	46.073666	44.352665
988.682861	850.300598	830.051575	706.858948	658.070984	628.067322	615.520935	663.917053	683.205322	543.707092	538.710388	539.363281	637.81842	782.526306	785.987305
112.175034	124.130264	137.317139	111.569565	104.755569	112.442909	131.606613	124.221924	145.193863	101.079994	101.370651	88.459328	47.146118	48.725433	51.535828
21.249586	18.688864	21.440382	20.132841	23.371338	28.766596	22.849258	24.105499	32.063879	38.630901	33.671028	33.39016	16.252598	18.959555	21.200396
27.486792	26.263836	29.398663	21.673101	19.165915	18.977278	21.872189	21.381987	19.564983	17.563858	16.935017	16.261303	8.253737	10.302173	6.999209
174.169632	160.398163	153.22438	118.169327	122.234795	113.551445	194.726898	162.891205	154.53688	138.680771	131.998917	144.876068	93.412506	87.87104	108.925117
357.938477	367.625214	367.895264	295.958405	283.951538	292.89801	545.038879	512.829956	402.279999	438.923737	414.345551	454.911438	560.550598	638.831909	737.843018
1308.599243	1015.101318	1048.900024	1841.134155	1528.819336	1526.237671	1570.654785	732.749695	608.159607	864.34436	836.06665	965.776001	2185.129639	1929.121216	1788.500732
54.384941	63.503033	48.694012	48.172455	48.32196	48.234348	66.912941	68.343468	75.483955	66.787399	62.559601	58.933369	43.791687	45.701626	48.501255
30.04847	25.261728	24.111591	19.826366	19.987762	20.49087	29.093012	32.031282	32.598869	39.862267	40.46986	41.573898	34.104473	33.882641	34.916401
98.154655	105.236885	119.095535	114.746635	102.375938	104.245735	98.379051	86.864853	81.689941	116.915619	126.306572	120.977921	119.828728	110.804199	113.859161
100.928055	83.81134	99.770828	75.387871	72.357208	81.043655	85.218643	104.38752	99.070755	129.930786	133.91832	157.259171	186.956207	142.24913	145.293732
18.375088	19.110575	20.905426	14.434701	13.425315	14.003468	18.36731	29.172047	30.753765	21.791847	20.26593	20.077383	17.638462	17.9095	18.449753
10.766582	13.678224	11.285711	12.437744	11.460643	8.093516	11.964779	15.256089	10.149848	20.813366	18.801384	17.633402	1.741041	2.121692	2.505839
26.279345	22.464046	23.773937	22.89167	23.530523	25.084538	38.533699	41.787659	37.653397	33.084682	39.822971	38.802464	21.738623	14.930664	15.471683
39.427677	45.31329	46.023327	43.519825	57.84951	58.371742	67.827705	60.440796	60.526562	74.914536	65.293579	66.551682	50.086891	34.815243	38.75309
24.294668	23.839056	26.831551	22.865507	25.306484	24.178738	26.091351	29.052511	27.261673	25.538311	26.974916	25.822578	17.095615	14.545169	15.086297
22.599537	18.114944	28.503345	21.527617	20.611137	22.256334	12.157395	4.096822	6.183428	14.070531	14.15753	16.783002	14.907882	13.213164	11.129049
210.853699	287.583099	319.995056	320.292236	320.209991	327.640259	278.456757	280.82312	304.213776	313.005157	296.464813	257.713501	106.157333	116.471451	133.561279
16.500199	15.525583	14.696909	13.033952	16.665933	14.421853	23.956373	25.173002	19.501171	25.680216	25.945435	21.846464	17.436609	17.718224	16.901471
89.808647	99.468742	108.391144	91.221062	96.14978	93.741356	118.760719	108.959061	102.752586	102.074509	94.058319	85.201401	83.127304	71.567665	81.10907
62.924923	70.540176	74.204445	68.69326	75.431602	79.787239	47.855335	44.988468	55.386917	75.590851	81.710655	88.958275	75.608841	71.234055	73.556564
73.888184	71.751228	74.299751	62.504131	65.905251	73.00164	84.087753	92.873528	94.49221	68.354424	65.482437	74.505219	88.014755	79.03688	87.73539
76.597755	67.797081	73.214417	59.78923	54.341068	52.686111	50.680195	48.83939	43.843155	43.307415	44.514172	38.933769	36.463406	41.461205	26.717058
1	1.023933	1	1	1	1.103522	1.123543	1.200165	1.109404	1	1	1.227393	1	1	1
5.528658	4.357994	5.221137	3.781157	3.822076	4.527788	12.315768	11.600425	9.764008	11.349232	12.735211	10.389462	5.547023	8.289457	9.319262
52.829906	53.154816	46.221291	55.019131	54.64019	56.820133	139.50296	123.562637	87.056114	82.329033	80.962242	84.325943	115.616669	112.464615	101.561714
140.427658	192.328964	355.753906	269.64389	245.0569	359.049408	954.8927	650.254822	425.246918	588.300537	481.072815	638.037231	670.16449	443.629181	488.004913
27.584755	22.402561	27.662945	31.936613	40.976574	42.079746	39.98782	58.976158	42.57415	43.819656	39.899384	44.391972	30.051928	21.551712	22.761955
26.88722	24.722986	23.985403	19.565918	19.84901	20.461046	25.021042	24.864882	20.856142	25.895361	26.34026	26.480743	25.713917	31.885691	25.979219
27.302937	27.006868	31.327528	15.614453	15.223275	13.787685	22.833496	33.713818	28.790003	44.139629	45.367191	43.514477	53.385578	68.923882	69.059402
102.13549	143.628311	153.835938	272.737915	246.051895	270.67514	147.095551	146.330902	142.698776	253.575943	255.289047	233.149445	99.798622	87.448311	117.08522
22.969049	22.35652	23.48877	12.651655	12.853875	11.881733	14.107693	18.430059	14.682918	20.998322	21.601444	20.461098	36.454746	43.710796	38.166992
59.399834	56.579365	58.616825	59.261589	63.655453	59.332413	62.917362	51.485966	49.324127	73.391533	71.656837	73.907715	40.672672	36.420704	36.87785
152.483124	137.060089	128.833649	102.453346	89.978615	95.66922	84.327667	78.390854	82.463295	66.05648	64.988789	57.931488	47.444931	56.232723	35.420944
34.282085	34.356461	36.639278	30.704285	33.461918	31.253525	36.815773	30.939581	30.515255	38.714592	35.027447	38.917797	36.030773	33.533241	32.684547
13.624968	14.902949	14.887012	16.223887	13.904035	16.505053	21.546122	20.611446	18.753136	22.267162	22.44013	21.589664	11.127907	11.036152	10.465863
