T10_1	T10_2	T10_3	T14_1	T14_2	T14_3	T20_1	T20_2	T20_3	T26_1	T26_2	T26_3	T24_1	T24_2	T24_3
ostta01g00300	23.968159934291	25.4078909056638	24.4758793168744	19.5268605728542	24.9767747115469	23.3706094668221	17.9750300429488	13.754922702742	16.1262443066879	24.905227212162	26.6697378988817	26.5562037682942	20.6097622622466	18.9394677164331	21.6551847525658
ostta01g00310	25.1485437337448	22.0210900812117	19.0374494192607	33.0164221047195	32.887012343186	33.8993260735773	27.1331045502773	24.9644094656227	27.8868758909803	23.8687901405839	24.8299814636776	23.8687901405839	55.8195550052513	48.2590932442941	46.5890808575605
ostta01g00320	24.6938155377856	23.5647456739496	20.8302768599356	20.2099659324772	20.2225634981807	19.5743249362765	23.4453696474425	21.7035263687227	23.6647256553954	20.9225342848932	20.2827179115057	22.1060743039702	19.9988009785034	22.5392962422123	23.1565575846473
ostta01g00330	224.347737123708	184.558043811763	165.193124172825	197.74556758951	206.996349543122	205.856489451789	129.161757526988	78.2464174096706	75.3862622295221	107.868980756821	103.473958446318	103.410908979991	70.7748486300991	50.5633684246765	52.8209692805023
ostta01g00340	13.7853556972582	14.7685281832742	17.9265372658287	12.303085443638	17.1612277414631	14.8295601712426	14.3661502535206	15.4143907993241	15.3443770975822	10.3167548528617	11.8196446237503	13.9640548723867	12.5683533442427	9.11938097361604	8.38612423291374
ostta01g00350	36.6996253795352	44.60426169674	49.4661061788314	65.9260821852755	62.8485775619416	61.6360286476773	48.0633582122021	49.9493881098923	42.9670596451549	38.9093698102539	36.0526875463737	37.9076660062742	25.7077548968043	32.2799852910142	33.5692339461634
ostta01g00360	13.6876054217402	11.7160922663118	10.4584452987491	7.80275082313357	7.44722213687411	6.64467150517952	12.4008114631191	15.2450067429445	17.1125220450431	20.8367985947068	20.5409974919737	19.8452157393237	43.6417939080326	55.8195550052513	57.4000729076756
ostta01g00370	56.8550297201518	56.2904671230855	97.9616719931593	99.0174013702213	110.468383391765	121.227909655312	145.316046663243	170.660276410266	185.027205215132	233.723653334574	224.736964226016	214.839086975513	178.719137062869	167.283907701155	186.538041577219
ostta01g00380	58.8357659821742	57.5113401199804	52.9124205677467	52.9381334480942	52.8787101746111	57.2123186712463	59.7302573298957	56.3836880531687	51.8422085295383	34.3747431527995	31.8331563331795	37.0018626970011	49.6823673670141	39.6084077476263	38.9472554814117
ostta01g00390	18.4579666222147	16.6298351927255	20.8435411876135	24.5202951984524	25.1897660517993	30.9710225504886	26.6697378988817	25.7759523286906	26.4041175901002	25.9245958456697	24.4021135490464	33.1981292012662	46.402728764151	42.6948857226803	44.8665171299889
ostta01g00400	135.352503932047	124.732653725971	113.328169624528	124.508149845781	127.185146765611	125.799606871756	101.035187414579	114.368297408119	122.108389962385	95.0930100787997	94.4098741026635	95.9985816322866	96.3690210456968	97.5581051759503	95.3146055485429
ostta01g00410	52.1798017687428	47.9399421067952	52.3613807518273	44.8965771946631	51.2868501986542	52.9032452321919	46.6378502974817	56.183762137849	65.7360988160186	65.2215177231367	51.8422085295383	56.6695555737203	47.1635431315281	39.0539234019904	48.9095883639172
ostta01g00420	43.5101037072195	56.2234628209098	68.0868700872934	78.419647860164	73.7172684788428	87.046006369434	78.4776293852042	82.3972923565718	69.8323886277347	68.4261162286242	69.4286005495553	79.778600729045	113.996604007536	87.2158051414068	99.2495802039472
ostta01g00430	94.0893800694845	83.8173748748708	83.7859657353477	81.0218497624802	86.9091968177798	87.4813964628235	71.9723397701954	83.2045916032388	80.8611756254198	81.5278631346383	69.7518982708403	84.0591599692955	186.770422674541	130.055692985752	153.343177504285
ostta01g00440	57.3157166551912	46.5217327595525	47.6656503710034	48.3294224709232	47.3319326230617	48.4934995565373	31.2549844343393	26.5972597740142	28.3344922587753	26.6697378988817	24.4378421352511	27.0550735608388	20.8492442402379	21.8564007486125	23.9761940901141
ostta01g00450	19.9171070816854	19.1175201315241	15.985491031115	19.074987588492	19.4384122924331	19.1256722422896	29.9319767147382	22.2030909870367	22.4349203406099	30.0578238902869	29.1421010155567	25.9964922411728	13.1447605027325	13.6483558500144	11.8835165865568
ostta01g00460	25.1630404645324	23.5370152048726	22.193489404097	23.6271143993292	22.812728705384	22.0671305595445	24.5420980778307	22.8388793910254	22.2030909870367	22.6475750362193	23.2554788858175	23.9600034407913	60.1542439480418	65.0155358134419	55.1107986566556
ostta01g00470	29.8264024717698	31.2152677152534	34.1363074598071	26.6799163181381	31.0578949251542	33.0636808501512	37.0219322221795	63.009021995983	56.1448658360852	46.1501229126187	37.9419841126738	45.7573446894215	60.0630413144886	58.0012657385041	71.9491010547627
ostta01g00480	41.7912608000184	31.9491632052346	36.8038861708044	32.2799852910142	32.5649390498559	38.9620895478545	34.584596543433	41.7338306066757	34.2276644224129	30.4429940326945	26.4887008458688	29.8821536694118	52.2463980515984	51.1128904976347	50.5633684246765
ostta01g00485	747.489267211796	621.251684626615	556.453305542135	477.271278582516	465.815898742045	402.526367892655	555.06616166915	651.974838198938	604.492093971228	822.629562695263	833.928811666398	833.928811666398	773.21027017885	816.862961784112	712.721255944244
ostta01g00490	218.972910471521	256.33411160505	500.486774811128	396.513250520794	425.571453359854	545.009256239529	426.1264929183	350.913085149621	358.716314183381	471.10759021022	414.22746341942	418.740040971478	491.845668589895	337.674053636293	380.330660836274
ostta01g00500	257.243063914953	224.530057602762	187.217003471302	193.569312546658	197.74556758951	198.666229338635	195.38597002488	185.948084996775	169.08777438646	155.046892139891	170.139253228258	171.107967318927	274.952488074898	240.861609782016	213.214706765033
ostta01g00510	188.003794090747	169.933449461399	140.801474419027	172.830645667967	158.629029518551	157.587322755238	188.756117071215	184.02264805058	174.899445150626	155.26293238772	157.916499583429	150.460130826901	179.11841175053	170.139253228258	134.87061218634
ostta01g00520	58.3429251207678	60.2534658001896	55.5203462977289	65.7024098812413	61.9429040085072	60.2534658001896	64.1154048796653	67.8941786201548	61.3404197154612	50.1946818013407	51.2545588567321	53.3584305115317	76.6264361402607	79.778600729045	70.5437123585676
ostta01g00530	21.8758790524419	18.1105564483908	18.7115680581846	15.1860336001316	13.6131699562473	11.6149189541425	23.7338167545484	23.5781633227495	28.8304995333723	28.6164560471561	39.3362755557556	27.6756070999314	60.5757669681887	61.6605166792359	73.3445998371513
ostta01g00540	24.7103164651449	20.2545212636484	30.1241227736322	28.5194572258123	23.3148664047754	27.9340737521455	51.1923166926664	46.2559987999587	36.4763556080515	42.9226994309226	41.026452075686	57.8585941700033	45.7573446894215	43.3613524085796	49.0754104097794
ostta01g00550	32.4725511364262	35.1794446465332	33.7993180861301	29.25487430768	31.8615945584608	26.3843025983672	37.7962546098674	33.2617929832216	31.7969099393393	52.4247191369132	46.8354501057812	64.5118913457852	40.5510797859995	35.5985904574734	42.9970757334267
