t10C_1	t10C_2	t10C_3	t14C_1	t14C_2	t14C_3	t20C_1	t20C_2	t20C_3	t26C_1	t26C_2	t26C_3
51.475231	89.156471	92.640778	135.74823	140.712143	134.090103	150.363953	127.136696	158.404861	157.317184	152.821869	153.459961
37.050781	35.847576	36.973484	12.660588	11.873372	10.73453	22.463333	27.555103	28.321785	48.732376	40.685623	34.874092
25.103489	25.670761	29.811062	19.570768	23.399412	23.677908	21.839855	32.49839	25.108507	17.009418	12.996745	16.674158
41.4575	45.810104	45.89695	49.961361	51.081551	53.805988	36.697628	36.037827	37.263313	26.105965	24.805252	22.62171
26.445932	25.699245	25.786083	19.908859	23.263113	29.025396	27.83922	20.315248	19.042126	29.589262	30.824696	26.0783
57.81065	54.156094	59.686783	55.325302	51.614761	59.465813	49.745152	42.501072	52.889339	47.616692	48.603127	49.693966
196.291687	187.780853	141.73407	232.213898	239.16861	245.171829	305.164764	248.208313	307.834473	198.107346	211.650192	170.620697
22.124857	16.480227	13.786096	14.830435	14.038522	14.744061	24.957777	15.821964	13.024109	24.272631	26.27561	21.385168
88.794777	81.254173	101.051994	68.850578	60.49086	54.979156	36.30547	18.327057	27.738544	43.909161	49.367104	51.7589
21.142824	18.079964	17.245827	13.968863	12.164694	12.750751	20.023718	19.762875	16.672974	21.45048	21.829554	22.239111
58.578907	57.729561	45.840977	44.970188	41.08215	52.583553	25.528294	25.201366	30.041658	43.853317	49.03051	44.75848
127.482872	130.070511	121.151665	268.586487	260.366486	283.626678	175.082123	141.775406	154.322678	168.262299	160.858215	171.86702
42.876862	42.465954	38.352669	25.9592	27.276974	27.010201	38.088242	28.255684	30.755854	34.314957	37.559944	38.751381
45.198345	48.873428	49.94698	31.266283	42.036987	45.65432	47.262913	53.409691	51.257404	47.473801	49.110851	55.289848
127.030029	109.812332	108.320335	68.176041	61.089039	61.728081	82.328812	114.919411	107.943054	133.742905	140.309082	154.972122
43.332058	42.036583	35.821453	32.931335	33.978642	38.089867	35.885784	30.935104	28.146132	36.563786	34.728455	34.580757
12.413788	12.534438	12.416554	14.245661	15.499135	16.651154	23.883362	24.826973	21.32424	21.805611	21.924709	23.180088
13.249862	14.828451	14.369411	13.35783	11.63105	14.726591	16.196136	13.121855	9.896431	11.183015	12.706128	12.193954
47.594036	41.297997	35.048714	38.9758	37.981506	36.926517	28.639982	22.320257	23.080862	25.264393	27.799435	27.995096
21.73595	21.298613	26.108055	17.164116	18.390339	21.901051	15.160234	16.559774	14.668195	25.917618	21.782751	24.781145
17.219139	14.177412	14.114645	11.942213	15.19691	14.146377	19.003082	13.313662	13.187001	24.49943	21.991798	23.267246
46.923782	42.868225	42.269234	54.098866	53.317142	51.852917	75.365395	67.49234	80.111015	57.787094	59.805759	62.688095
41.580208	47.432713	49.402699	39.19265	38.2061	42.972622	44.399769	30.570322	25.169085	60.331631	66.535667	60.56641
74.061974	59.417156	57.777725	52.350788	53.326172	46.600498	50.679367	44.752872	40.168587	49.497921	50.985237	49.433136
12.129562	11.112464	12.720767	5.801493	5.149974	5.157233	8.591887	9.880525	8.09095	10.810025	12.114128	10.845279
967.051575	806.983521	815.583801	1033.282349	985.544067	939.807251	856.665344	749.654175	813.399719	1151.147095	1126.942993	1100.463989
11.65598	8.213586	10.433275	13.168089	15.59516	15.854496	12.509184	9.632131	15.486225	13.648776	17.20472	15.350054
10.347681	12.358528	11.735003	12.133393	13.117898	14.840403	13.506922	11.190728	8.287598	6.115184	8.932657	8.534142
165.876083	158.888168	195.834915	104.187836	94.475296	102.261818	166.80545	188.105606	177.369003	195.88913	206.125015	201.036148
9.964568	7.487661	8.889008	10.499552	7.709406	13.196864	18.377054	12.24543	12.521737	12.462423	12.830323	9.069488
165.283386	155.636612	144.191803	76.755409	84.025856	94.793587	120.014008	111.338707	129.589157	115.005928	109.915771	109.809456
817.348328	742.985596	707.969849	485.067474	420.269257	415.390167	401.290375	412.830627	449.47525	397.901764	422.704285	380.092194
60.305744	68.138435	72.386559	32.889172	33.44743	30.827637	40.612305	65.998489	68.121162	88.319252	98.509003	87.840515
40.12545	45.141815	50.165199	42.594391	41.694221	46.883045	65.931961	76.360695	63.245583	63.585255	58.860603	58.357765
15.842829	14.359021	16.688065	15.39004	15.271282	16.131756	17.911968	17.875608	15.292244	17.676596	17.034937	14.848898
60.001404	62.418968	57.732925	51.434635	53.399117	52.735104	65.143555	57.754662	57.743252	49.179565	52.800266	49.574348
127.699654	110.510971	120.885078	53.285721	49.972084	46.197651	60.595512	60.709579	58.579502	80.074699	84.187546	84.177971
49.160324	36.010479	35.533581	43.179977	47.405621	45.5093	44.814682	36.616089	42.314426	38.163708	42.321083	42.653366
40.701199	35.529049	31.570961	32.837265	30.084448	32.221981	38.097755	27.933592	28.312237	27.484568	25.697241	26.261087
144.136566	136.53978	122.353668	111.85231	106.944214	101.362389	142.879562	161.35788	162.983795	62.943893	64.955307	60.307888
94.876465	93.6661	77.770233	70.020309	73.176315	78.396339	71.712959	72.923378	59.48859	75.078209	72.345741	61.32748
11.759429	11.482821	13.432219	9.842819	8.58928	9.557659	9.188721	6.314949	5.215107	17.195633	17.142666	14.798468
878.955322	986.570374	1080.851685	1128.796631	1072.345947	1033.87207	1808.791138	2185.263672	2099.307129	2071.054688	2155.588135	2268.352783
693.07135	739.894165	675.262146	478.600861	466.920105	480.496979	611.559753	704.215149	530.072449	415.038849	432.073273	448.405334
554.734619	585.107544	584.48053	328.940033	302.046509	345.539581	252.204239	248.167587	226.851044	324.40274	304.074738	331.51767
66.192528	54.22224	58.794559	51.70356	58.04118	61.713593	49.31638	33.505924	38.49202	62.758915	67.85392	66.471542
141.181717	127.959061	114.106606	101.886398	110.857239	105.737595	121.242981	115.980392	123.440643	85.954628	91.44931	87.074493
14.403036	29.622097	33.231472	31.366257	32.812775	35.729343	44.615955	29.829529	32.227329	37.512245	38.310192	35.929134
38.319248	49.027458	53.308212	50.931149	55.669628	57.382416	59.555256	55.255127	69.123322	58.321331	60.205666	65.920593
182.859161	221.868774	247.312408	279.083862	286.810486	340.120453	242.987595	253.775131	249.412445	170.706833	172.219467	187.951981
60.936783	58.163307	58.889988	38.294495	49.363853	57.97084	36.614422	32.222477	31.224257	29.155359	26.67906	36.261574
