baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ostta03g04740	424.21473114894	-0.357048514266365	0.139640700223512	-2.55690864980528	0.0105606946734895	0.0197099714727256
ostta07g00870	474.207588101715	1.62346049305262	0.209246903997732	7.75858787889267	8.58802264141253e-15	8.70616475182349e-14
ostta18g01080	2766.41809323199	0.146700816460451	0.133722457980373	1.09705444153579	0.272617594097255	0.349622028306787
ostta01g06360	11.466489701088	-0.411360224432898	0.518077153973198	-0.794013442357234	0.427187605783122	0.50909124719668
ostta15g00420	2625.97157287095	0.0833024238380946	0.101162114011584	0.823454755290657	0.410249436356991	0.492004898468344
ostta03g01590	745.808078070419	-0.62833169870113	0.170982139488016	-3.67483820580669	0.000238000187420575	0.000610452957292934
ostta03g01040	1660.26160222239	-0.329466577762502	0.101709336935211	-3.23929530651028	0.00119825440421809	0.00270657876626214
ostta14g01940	10800.4931158195	3.40105962916329	0.114494747866452	29.7049401176928	6.6295672023931e-194	1.69363343463802e-190
ostta19g00110	5.12772403513364	1.42740541313374	1.18444938875043	1.20512149078791	0.228156404536074	0.300445134770528
ostta01g02870	425.95736895716	-0.794601601588035	0.148444087583969	-5.35286796881391	8.65710177353768e-08	3.70245691921835e-07
ostta02g03110	863.843689830289	-0.00673446100672275	0.124207406996727	-0.0542194798970418	0.95676030079797	0.966538675998323
ostta07g04480	804.453119973888	0.350928495266022	0.0997523274408916	3.51799806850587	0.000434815527468315	0.00106740108985175
ostta09g00600	5370.10323774462	-0.0234090997558454	0.092079545787639	-0.254226924726946	0.799320250843549	0.840443188704206
ostta09g00975	1327.20683367917	0.598772049223856	0.130905092252309	4.57409287080882	4.78287665824763e-06	1.6070130078391e-05
ostta09g00970	1422.66981384192	-0.892157748466667	0.100743269532856	-8.85575535322191	8.31190042049835e-19	1.20877428506071e-17
ostta05g02490	1124.7111534239	0.033560453686869	0.114061040124577	0.294232400916338	0.768580323508058	0.814153365496304
ostta01g01370	7.64544335310351	-1.40812204788896	0.627978256235908	-2.24231019769573	0.0249413311340349	0.0425440377946235
ostta03g03570	3108.63506710715	-0.260149211078702	0.123067811484267	-2.11386883329731	0.0345264718514148	0.0568811006597684
ostta13g02240	538.842616350352	0.0260374875802322	0.107603513380044	0.241976184255905	0.808798617142098	0.847850171218307
ostta09g03770	1142.61620303715	-0.318421185236412	0.0837071902712389	-3.80398845313793	0.000142384819908956	0.000381418126453072
ostta04g03990	224.845852481639	0.087955853639465	0.147182744015797	0.597596234719096	0.550109377214229	0.623121233663885
ostta04g03620	1803.49096217876	-0.0485604441821223	0.0797948390195831	-0.608566227825896	0.542811995481852	0.617135607976994
ostta03g01620	401.460967932029	1.27922816445898	0.174911264681442	7.31358364361939	2.60110266517316e-13	2.21498342509856e-12
ostta05g00890	1407.94152226978	-0.194951728184468	0.120607694708707	-1.61641202624193	0.106005259922692	0.154218738050021
ostta08g01060	1.88499747323999	1.39185650344828	3.02274899289357	0.460460496958401	0.645185719743528	0.707903129007072
ostta04g01840	1907.62065676063	-0.245976241815871	0.0887385507114	-2.77192088268207	0.00557265791957248	0.0111220964311467
ostta01g03220	386.612581619477	0.807740493853091	0.146275944015389	5.52203234298124	3.35100784437803e-08	1.51606399759818e-07
ostta04g01845	428.966136155492	0.475251378769413	0.119313456127163	3.98321693290734	6.79886413219463e-05	0.00019156799525419
ostta06g03332	6709.310609801	1.86308715486742	0.129088396397384	14.4326462088205	3.22467620768264e-47	2.74599093951997e-45
ostta10g03260	771.22492314169	0.138737777836606	0.0999961248293435	1.38743154370612	0.165310211959602	0.228277020623133
ostta18g00420	1131.96028319481	0.0968618690184536	0.08666250845975	1.11769057623621	0.263699168966854	0.340005119610021
ostta04g04160	296.854606912235	0.910513181855809	0.131997193582647	6.89797379128151	5.27494750506669e-12	3.8538796643309e-11
ostta07g02650	1383.13818833125	0.211490634296304	0.199510377549673	1.06004828868437	0.289122631471483	0.367042545568568
ostta17g01720	526.651582230105	-0.135128160601878	0.10144718171511	-1.33200507217	0.182858521788915	0.249054151588811
ostta17g01050	2291.06744755372	-1.82468162987514	0.302342340528888	-6.03515083822933	1.58814269998002e-09	8.68154468805056e-09
ostta04g03190	3096.0690659301	-0.431929960063451	0.119619202216068	-3.61087477646988	0.000305165985404075	0.000768581042437341
ostta17g00890	1365.88638028255	-1.48271060863713	0.208623660644305	-7.10710666306008	1.18500854336279e-12	9.31477484752042e-12
ostta05g00090	1009.90182854887	-0.0322833442040598	0.0960977560626998	-0.335942747539248	0.736914040577493	0.787686081866933
ostta01g02290	1273.03040017662	-0.0534240649874376	0.0835176612554115	-0.639673862801996	0.522384651303731	0.599269215939942
ostta09g02900	183.194230276128	0.222246217943891	0.186156421400302	1.19386812591322	0.232529557490843	0.305385207199484
ostta12g01720	297.099739462154	0.620400833109149	0.140145778040417	4.42682499454413	9.56302565640015e-06	3.07042432470259e-05
ostta08g01200	1413.66557448864	0.606739106961098	0.0957844554647903	6.33442142586623	2.38233537546841e-10	1.43426695346347e-09
ostta02g01050	729.300942328745	0.0419863661259018	0.129756630295748	0.323577808935114	0.746257690732048	0.79479140380356
ostta05g02820	3342.44419277534	-1.12940974884805	0.0692537297391911	-16.3082876994698	8.61747139984672e-60	1.34784287364133e-57
ostta01g01800	994.049141656999	0.0605555826188294	0.117657550707087	0.514676552885118	0.606779060697447	0.673964452345686
ostta03g00940	899.432464866838	0.313445877785358	0.116187180835929	2.69776644488846	0.00698063968083729	0.0136513453722728
ostta07g02430	3.43845737192857	-3.08030918729524	1.37183220438445	-2.24539792654699	0.0247425984104833	0.0422614829993189
ostta16g00390	1003.92280167368	0.257820460555282	0.173063365670449	1.48974602196417	0.136291028757234	0.192505426538047
ostta09g01550	602.662692871942	0.939023410406801	0.133430338254869	7.03755549666034	1.95641625204359e-12	1.50390914299519e-11
ostta01g05470	1069.18609795538	-0.162664734060614	0.128290707866618	-1.26793854960824	0.204819896145539	0.274330242470252
ostta01g03300	777.315159779892	0.112218570322692	0.109898127790211	1.02111448647161	0.307200200463581	0.386661576014598
ostta06g02000	372.199039548882	-0.360815411397917	0.163079915100807	-2.21250674048291	0.0269316709835017	0.045453496238176
ostta07g00490	1553.18548855446	0.311513583004174	0.0912600544981507	3.41347136726163	0.000641408980509285	0.00152426617879788
ostta16g02730	1.62677919490737	-1.76426507402069	1.33802799145457	-1.31855617766468	0.187317532331138	0.254358888693451
ostta01g02120	766.886284043747	-0.108293000453027	0.115998200557951	-0.933574830748566	0.350523253496779	0.432315773221647
ostta04g02570	788.506982128527	-0.248877012956935	0.133348111556255	-1.86637073485621	0.0619895146170939	0.0956873393807467
