T10_1	T10_2	T10_3	T14_1	T14_2	T14_3	T20_1	T20_2	T20_3	T26_1	T26_2	T26_3
4.91420718583356	4.79054375875607	4.74191793534655	4.59065830969868	4.5833863206021	4.54479087580536	4.90586134652573	4.7368095348027	4.6260874937047	4.85226329298893	4.89542123265762	4.89653449195535
5.15248132478233	5.1939414733448	5.33857813121626	4.75222140586541	5.02229774216289	5.10603207372686	5.44251505612872	6.04210935600188	5.88910182599287	5.68449201121963	5.46339294688579	5.65193450379138
5.63961749458434	5.2197855948893	5.44209146379032	5.0164360484354	5.08424348416615	5.34266486019847	5.35162953696502	5.51807876322229	5.20965593297721	5.19289233281722	5.0481469597093	5.15837203125192
9.3068748846307	9.12230754924667	9.02815743131904	8.86477908987956	8.81898919961158	8.65378721267238	9.07954672754962	9.32055508168419	9.31256920587913	9.8074967050964	9.83962852671658	9.82984812934527
7.81445697685628	8.07284352704767	8.94647877954923	8.5770168251172	8.70450111428558	9.06230938172824	8.68004011994066	8.46803262535742	8.57911306272487	8.86976923740348	8.65144933675502	8.70617911978475
8.03743466019444	7.90353638514085	7.68273544843566	7.59378426779738	7.63551452947669	7.64680025062522	7.61041445308053	7.50736568798923	7.42751305704184	7.22364108563678	7.36396908331752	7.35274220035267
7.6313855898867	7.53674907108512	7.27244556003228	7.40776158691952	7.31978004798982	7.31661427109961	7.56915626751907	7.49477239769723	7.47495937281742	7.22557439057916	7.26855527023871	7.19879847207332
6.08439204976419	6.12547278684891	6.01922750810981	6.01700329194445	5.97220742712785	5.93662875909077	6.12623425500784	6.1411440364897	6.01528225259261	5.78112564777036	5.82319937554277	5.8444119549007
4.71379313589054	4.43481523990094	4.52477495867977	4.02085778112686	3.8995185946186	3.69384503282187	4.86231958814644	4.77454649314847	4.96309179455252	5.11781959692657	5.50178670268196	5.06206598406498
4.88517154248823	4.5838531740624	5.15472035824973	4.84609671003908	4.61388490472219	4.86636844751405	5.8486615565506	5.65155650857125	5.29374802425529	5.58434330747663	5.55292486733381	5.94898673912445
5.27050438027352	5.35950321541104	5.32622130677291	4.88178617973784	5.0540783272987	4.78619756846801	5.46829769666226	5.22175524926005	5.09982569947569	5.84059857798729	5.71378466391648	6.07539555270928
5.60443534479844	6.38531773898897	6.43788981259908	6.97888413517304	7.02330852589567	6.96298491906254	7.11632736747069	6.88308248893725	7.19044480980599	7.19055863413965	7.14455626268025	7.15548262906427
5.13230138483312	5.08213965038945	5.1282262219869	3.66688280828919	3.57970506571911	3.44772292161913	4.42009273189695	4.72291883112259	4.76352115811122	5.52067576165714	5.26614538594569	5.04830522254783
4.60196980950734	4.62768265012937	4.83811545603626	4.24856379453134	4.49714681271166	4.51299241591501	4.40436316115821	4.94936333938253	4.59130861547475	4.05576222811694	3.69783729547275	4.02872875981196
5.295170603471	5.43069032765303	5.43815622076078	5.55615505275163	5.58531888278348	5.65817338950335	5.12325778481728	5.09580372328222	5.13958833671224	4.64872077398386	4.57428267833531	4.44996719037216
4.65830926786503	4.62392990052176	4.61747140414322	4.27448383768979	4.49196262138818	4.78855308609205	4.73987131962545	4.28951682870382	4.21567156334224	4.81263370398124	4.88078241890924	4.64660346054104
5.76829124531683	5.67262973754019	5.80645892862383	5.70207959921457	5.59317117119705	5.80036115754503	5.55237924484348	5.32786525783494	5.63464530039768	5.4901618416691	5.51709426236972	5.54869400787903
7.48949398772443	7.42288895218448	7.01939144410434	7.7471431167326	7.78852247336886	7.82387420797266	8.13758589490394	7.84268285729818	8.15197737040568	7.52105693718696	7.61306150113424	7.3059513330599
4.41644768800112	4.02228569112215	3.77633042051232	3.86881030681138	3.80085724772679	3.8579183982633	4.58365786976727	3.95546357123409	3.69823716285678	4.54149840965793	4.65182413738743	4.36181835648519
6.35608650003797	6.25270891978577	6.56162107458332	6.01259158192105	5.83144937770475	5.6954991826865	5.09757529348458	4.15481981922818	4.73518336819846	5.37621014965293	5.53228227378179	5.60898010861873
4.36716098219025	4.14899528916016	4.08180960100533	3.79465041781405	3.59310210812528	3.67202355643281	4.28593940111924	4.25559583757572	4.03234456591595	4.37257030739202	4.40228664846315	4.42528961244195
5.76696984225663	5.76159787278702	5.41933190271301	5.39506460049388	5.26956165635974	5.61022613841506	4.6119499190924	4.59170226168389	4.8290117739507	5.35976986239674	5.51841442372708	5.38962406682265
6.89034232170711	6.92080090767505	6.82077301531278	7.95327538262814	7.91087236665328	8.03496326579389	7.34031782158092	7.03917791356638	7.15854959100682	7.2885612082904	7.21762000531233	7.31520266692949
5.34875122665094	5.32929750251569	5.18457633065033	4.64108782027345	4.69580731478531	4.69454845573182	5.17759144650945	4.75052892327684	4.86957657958333	5.03010466100384	5.15384113534151	5.20038393924728
5.41465236470046	5.52892874242331	5.55674133690475	4.8969353688558	5.31707302486856	5.43285523886702	5.47915348509508	5.64646193302965	5.59070605005403	5.48467767726279	5.53202782149697	5.69533264711527
6.8882248896461	6.679911674101	6.65941994985978	5.99584721068789	5.84118775958379	5.85816054512464	6.26522730753439	6.73992684813673	6.65119140369842	6.95942189020806	7.02666562313409	7.17035284240582
5.35363439644302	5.31457457940811	5.08487001058182	4.96940760070538	5.01726618920775	5.17614220733947	5.09013962432125	4.87521985223179	4.74922743955931	5.11560495854344	5.03903670013586	5.03512967575346
3.47720072399428	3.61818958354984	3.5777537560015	3.77812445418364	3.87894577021738	3.9989328685828	4.48525822126303	4.5357269136172	4.34609520487461	4.35447845787622	4.37567576437774	4.43212991954866
3.72898822519501	3.87058165124906	3.83411975576958	3.73884138625119	3.5537668215316	3.85793608714465	3.99284517280399	3.71001690178003	3.34151899823369	3.49598787121574	3.66415179744551	3.60565531427946
5.49016800916317	5.28755063522649	5.0634981885248	5.19872882408412	5.17340677903291	5.13158023873206	4.77708739663992	4.43188106777682	4.47381071934757	4.60220228768049	4.73132792106966	4.74281792343015
4.40496693335531	4.37580837501704	4.65097813167366	4.07526400277669	4.1703690970909	4.40724281178633	3.90081709644936	4.01931579818371	3.86255833612365	4.62821317731914	4.39910780857519	4.57089391272418
4.0883827567643	3.82599285066247	3.81712202171335	3.57486075386677	3.90206234276109	3.79532014096071	4.20985968894117	3.71774846283048	3.71855377938889	4.55460517026463	4.39257595741544	4.4858140401702
5.38665801019256	5.22373207233137	5.2155515334659	5.52186229199522	5.47162277890432	5.45475305020681	5.98008956506907	5.83288227819985	6.0786757553545	5.623911673352	5.59115150836043	5.68915590483556
5.29026668581161	5.48261970530006	5.53918136233377	5.20761387569307	5.17348887398903	5.32932089269378	5.37601916926712	4.86790989850076	4.59205276980776	5.82034820724253	5.95312186618371	5.82259877866111
6.11726407230635	5.80177297779773	5.75641478954805	5.62020811886479	5.64596860172802	5.46081200288151	5.57332075631648	5.40189328136719	5.25044871512178	5.5447956311647	5.58311335210992	5.53930358586708
3.62237815718666	3.50285293265074	3.67465708308876	2.65869184501542	2.51243992197635	2.52127993639816	3.1564515653896	3.33658705547542	3.079486027731	3.44613730686241	3.60154734059692	3.45327822243153
9.80147287921417	9.5425449898402	9.55750187769682	9.89551589282374	9.82807102406341	9.75796581095189	9.62535792406888	9.43360193200275	9.54838630112186	10.0528957568698	10.0209627665694	9.98788850156981
3.57014373039424	3.11633257174722	3.41423852047048	3.72047670956713	3.93210548146576	3.93642660777196	3.65078596842913	3.30700428249436	3.92347112180835	3.75909732175056	4.06299603613795	3.91970689728455
3.41751971232184	3.64527153846281	3.5715802411306	3.61129260318021	3.70156820356934	3.86624206928576	3.74135531178215	3.5028987861439	3.11254994089769	2.72045382383633	3.20422891564622	3.1432693728177
7.26755585817221	7.20007703591092	7.49965854889613	6.59891564916731	6.45817465872342	6.56791298408469	7.27323488675375	7.4434044808726	7.35730038619403	7.50164107744092	7.57683518470243	7.53932999404064
3.36119719966919	2.9978210861736	3.21138417499785	3.41756058627815	3.0150419171864	3.70010388744519	4.15769880778487	3.61972321252481	3.64559714096557	3.6395455268509	3.6789337511892	3.21822237423507
7.25991734742388	7.17394086895197	7.06494341231121	6.16624221494154	6.28766059537692	6.46209546472567	6.80358766268767	6.6923880189304	6.90960704318364	6.7403277479242	6.67818704505817	6.67119942260166
9.56109815888863	9.42254888495607	9.3538038202393	8.80825154963683	8.60236733971459	8.58567446750411	8.53474138330441	8.57716748281968	8.69878389488401	8.5233937346131	8.61030451544113	8.45821173997375
5.81994572349307	5.99036865347281	6.08404024281127	4.99358995304497	4.99623751632542	4.91658169144878	5.27217967810988	5.9753891823453	6.01558170591805	6.38097071098086	6.53694563766931	6.37485528672747
5.22150833956388	5.3768044189481	5.53110936192306	5.31834979621838	5.28541307468896	5.46443381019241	5.92724765171327	6.14500741522839	5.86610230562492	5.88290285851061	5.75517056490116	5.75629443650209
3.97807234570017	3.84291260924114	4.04269389970694	3.91821360445775	3.90694727748948	3.95932617960407	4.11552639143916	4.09252615098348	3.88446009113584	4.08796041280059	4.05119493619365	3.85978775214727
5.81236241683544	5.8698482182582	5.76369642847509	5.59659990478577	5.65055969137318	5.63233427474049	5.92865134157183	5.75979672225859	5.75592482511879	5.52792133953631	5.63172620945312	5.5445256268728
6.83997776002672	6.66121723224401	6.7850705338299	5.6369472424754	5.54249351474806	5.43544075727363	5.81781136330239	5.81605284250791	5.77279257115725	6.20892735117995	6.28880471867712	6.28325119940653
5.53207916689212	5.09976019612761	5.0838237341488	5.35327960993681	5.47651865519655	5.41990644309724	5.39585228282302	5.1118980405913	5.31888622109642	5.17572544106658	5.32552431744939	5.33021901799561
5.26855800393576	5.08025159952981	4.91261197968857	4.96850932616798	4.84688673506956	4.94063566681919	5.17504304740731	4.73332736415998	4.75147112009689	4.71004883519022	4.62152769934637	4.65013904880939
7.06665764862046	6.9862292050352	6.83222694171217	6.70032472003397	6.64038907577323	6.56221094342057	7.05092465752416	7.22560858414797	7.24047664607919	5.88136715846362	5.93009898818848	5.82147967213529
6.47232364639356	6.45550300165045	6.18662929027415	6.02976467979793	6.09496757490556	6.19559812489974	6.05169101510719	6.0873958827136	5.79729979940265	6.13213832379446	6.0717401364428	5.83952601633822
3.58316256901632	3.54758766583999	3.75057560222378	3.3300883688407	3.15881545851544	3.2882410154569	3.22919548661297	2.77047986239426	2.53724552360657	4.06942022605807	4.06754283297696	3.86504619344939
9.65750271906665	9.82346236240503	9.95881261847129	10.0219592846839	9.94826674365472	9.8941449616956	10.701689423762	10.9748836033142	10.9170079375058	10.8982774621664	10.9562766230079	11.0289636637165
9.32325279222808	9.41566285378112	9.28453792307513	8.78927280299088	8.75216292777624	8.79227873229875	9.14156956320397	9.34404314299183	8.93451016035391	8.5818380557557	8.6389976049801	8.69381351391705
9.00192271653055	9.07835630386379	9.07553757561983	8.2486969915258	8.12611728064482	8.31753786978197	7.86821041912599	7.84110826068095	7.71151275982732	8.22623001847355	8.13371701593694	8.26139283635479
5.95151885591202	5.66594719501349	5.78474381802215	5.60886511235449	5.76496385108382	5.84527867773231	5.53491815375102	4.99021034739053	5.18362165260742	5.88229989882579	5.98506951840614	5.95755270469337
7.03390502893606	6.89261592230858	6.73118954863894	6.56637280141602	6.68671528269383	6.62104205243962	6.81660971380809	6.74683732116623	6.8404207363847	6.32108062735353	6.41356262940826	6.34430963957797
3.82556134651516	4.80461562107202	4.95999796534461	4.89936396815885	4.96580623310941	5.08204731024191	5.39879686727056	4.83269717107265	4.93570212302077	5.14045866612943	5.18234201925867	5.09219224600025
5.15968917545838	5.51984979690608	5.65328830323884	5.58314961663526	5.70360812830161	5.75386292053232	5.80566368927979	5.70324694594191	6.01747874111954	5.77882560111343	5.82037230937921	5.94918994953577
