temp10_1	temp10_2	temp10_3	temp14_1	temp14_2	temp14_3	temp20_1	temp20_2	temp20_3	temp26_1	temp26_2	temp26_3
187.844208	190.257538	188.088959	245.644897	282.800629	311.24826	284.585968	285.632904	329.863007	305.570831	299.70694	289.922729
140.512665	149.175507	129.792938	76.263985	72.497169	66.188652	86.268303	125.796432	109.841858	137.653076	142.303589	144.012283
33.602818	29.114338	36.575775	40.939941	42.015266	35.739262	42.763744	43.056862	37.851822	60.598152	58.08593	57.785015
2.129439	2.276299	2.320979	2.813708	1.25242	1.582164	1.456327	1.059045	1	1.033481	2.204346	1.953088
47.58194	36.402958	41.383751	35.145889	36.455242	37.40834	49.485725	51.232059	55.085709	54.649868	48.550617	45.06234
24.718449	29.005838	29.803864	31.700226	34.129536	30.012741	41.271152	37.513199	33.654099	40.627979	42.369896	41.180767
21.276329	20.986452	18.686678	17.180525	16.189102	16.187753	19.956291	21.42676	18.934805	20.018898	21.111511	16.644086
24.394587	35.740055	44.562111	35.510105	45.625534	44.094547	44.668552	48.622707	44.183437	54.77206	55.337807	60.742043
169.779709	158.351227	154.076263	227.557175	226.931198	224.903244	206.604538	200.554718	210.982635	265.29126	264.174744	265.897156
48.511497	66.748291	85.623482	74.841492	72.180222	79.435783	71.417732	70.154678	89.379692	138.955246	114.25869	119.03672
51.60215	49.673985	42.080864	34.854248	34.614635	34.424286	34.919216	30.640137	30.439091	31.760515	32.899717	29.733067
14.257074	14.32961	15.279625	14.779468	14.982852	15.131397	20.243057	17.023382	14.499129	17.84687	16.234898	16.946447
143.366486	169.326599	156.416946	121.244919	120.930473	123.959198	65.520477	65.128708	68.965172	83.952164	86.847893	84.370567
61.704403	60.957539	62.589382	48.539501	52.46851	58.237099	67.528053	79.527306	76.367203	71.181305	67.616928	76.553337
1.150122	1.16598	1.106965	1.064732	1.030587	1.013514	1.027154	1	1	1.043469	1.077833	1.029241
13.340367	14.075016	13.469625	13.360895	13.314658	13.66208	10.403376	8.581813	6.024664	20.222567	20.004375	16.893364
1.147737	1.306957	1.402474	1.15877	1.077086	1.216129	1.069172	1.108695	1.153811	1.121064	1.112879	1.168564
35.747749	38.736008	41.188469	42.426559	44.41256	48.675053	55.624523	52.750099	58.401497	46.42717	46.869659	47.88308
1.355826	1.505127	1.487788	1.288264	1.175134	1.294991	1.239079	1.470937	1.251279	1.262049	1.239598	1.352477
44.911339	49.083366	63.2672	64.144062	61.592228	56.11385	60.857693	63.158405	60.905239	82.289749	77.904976	65.873466
59.12812	56.450279	57.725407	33.678234	35.694847	35.849155	51.324268	54.033707	45.893909	57.531349	57.788387	57.419262
48.738613	49.853966	46.251465	27.476894	29.642664	30.53768	53.50967	56.763668	52.454983	57.873341	62.879818	63.753361
28.469107	32.686689	28.907635	52.854919	46.040932	46.596657	70.624634	53.008091	54.163837	58.578114	59.190266	50.336628
34.074276	33.504509	32.131035	27.028833	27.683071	23.13344	33.779324	31.63483	25.429768	34.706799	36.082977	36.180618
57.731434	49.374092	57.020775	40.172932	37.703522	40.61755	69.002747	60.839035	56.325615	76.916763	76.775261	76.298508
52.827492	44.394962	43.031055	40.283791	38.689617	37.602524	45.097122	47.446186	43.804829	42.671631	45.019562	44.910118
50.878334	50.300167	61.810673	54.82235	67.148415	59.717014	67.915863	72.583496	72.27964	98.159714	86.461288	88.218964
121.84568	127.371719	136.546829	76.333084	80.519432	86.522385	69.767334	86.001038	83.524086	64.670773	62.958801	67.587929
25.025311	24.597027	24.897598	17.425196	18.197395	16.247579	24.993542	29.115393	30.32028	30.564169	28.466702	31.814098
988.682861	850.300598	830.051575	706.858948	658.070984	628.067322	615.520935	663.917053	683.205322	543.707092	538.710388	539.363281
112.175034	124.130264	137.317139	111.569565	104.755569	112.442909	131.606613	124.221924	145.193863	101.079994	101.370651	88.459328
21.249586	18.688864	21.440382	20.132841	23.371338	28.766596	22.849258	24.105499	32.063879	38.630901	33.671028	33.39016
27.486792	26.263836	29.398663	21.673101	19.165915	18.977278	21.872189	21.381987	19.564983	17.563858	16.935017	16.261303
174.169632	160.398163	153.22438	118.169327	122.234795	113.551445	194.726898	162.891205	154.53688	138.680771	131.998917	144.876068
357.938477	367.625214	367.895264	295.958405	283.951538	292.89801	545.038879	512.829956	402.279999	438.923737	414.345551	454.911438
1308.599243	1015.101318	1048.900024	1841.134155	1528.819336	1526.237671	1570.654785	732.749695	608.159607	864.34436	836.06665	965.776001
54.384941	63.503033	48.694012	48.172455	48.32196	48.234348	66.912941	68.343468	75.483955	66.787399	62.559601	58.933369
30.04847	25.261728	24.111591	19.826366	19.987762	20.49087	29.093012	32.031282	32.598869	39.862267	40.46986	41.573898
98.154655	105.236885	119.095535	114.746635	102.375938	104.245735	98.379051	86.864853	81.689941	116.915619	126.306572	120.977921
100.928055	83.81134	99.770828	75.387871	72.357208	81.043655	85.218643	104.38752	99.070755	129.930786	133.91832	157.259171
18.375088	19.110575	20.905426	14.434701	13.425315	14.003468	18.36731	29.172047	30.753765	21.791847	20.26593	20.077383
10.766582	13.678224	11.285711	12.437744	11.460643	8.093516	11.964779	15.256089	10.149848	20.813366	18.801384	17.633402
26.279345	22.464046	23.773937	22.89167	23.530523	25.084538	38.533699	41.787659	37.653397	33.084682	39.822971	38.802464
39.427677	45.31329	46.023327	43.519825	57.84951	58.371742	67.827705	60.440796	60.526562	74.914536	65.293579	66.551682
24.294668	23.839056	26.831551	22.865507	25.306484	24.178738	26.091351	29.052511	27.261673	25.538311	26.974916	25.822578
22.599537	18.114944	28.503345	21.527617	20.611137	22.256334	12.157395	4.096822	6.183428	14.070531	14.15753	16.783002
210.853699	287.583099	319.995056	320.292236	320.209991	327.640259	278.456757	280.82312	304.213776	313.005157	296.464813	257.713501
16.500199	15.525583	14.696909	13.033952	16.665933	14.421853	23.956373	25.173002	19.501171	25.680216	25.945435	21.846464
89.808647	99.468742	108.391144	91.221062	96.14978	93.741356	118.760719	108.959061	102.752586	102.074509	94.058319	85.201401
62.924923	70.540176	74.204445	68.69326	75.431602	79.787239	47.855335	44.988468	55.386917	75.590851	81.710655	88.958275
73.888184	71.751228	74.299751	62.504131	65.905251	73.00164	84.087753	92.873528	94.49221	68.354424	65.482437	74.505219
76.597755	67.797081	73.214417	59.78923	54.341068	52.686111	50.680195	48.83939	43.843155	43.307415	44.514172	38.933769
1	1.023933	1	1	1	1.103522	1.123543	1.200165	1.109404	1	1	1.227393
5.528658	4.357994	5.221137	3.781157	3.822076	4.527788	12.315768	11.600425	9.764008	11.349232	12.735211	10.389462
52.829906	53.154816	46.221291	55.019131	54.64019	56.820133	139.50296	123.562637	87.056114	82.329033	80.962242	84.325943
140.427658	192.328964	355.753906	269.64389	245.0569	359.049408	954.8927	650.254822	425.246918	588.300537	481.072815	638.037231
27.584755	22.402561	27.662945	31.936613	40.976574	42.079746	39.98782	58.976158	42.57415	43.819656	39.899384	44.391972
26.88722	24.722986	23.985403	19.565918	19.84901	20.461046	25.021042	24.864882	20.856142	25.895361	26.34026	26.480743
27.302937	27.006868	31.327528	15.614453	15.223275	13.787685	22.833496	33.713818	28.790003	44.139629	45.367191	43.514477
102.13549	143.628311	153.835938	272.737915	246.051895	270.67514	147.095551	146.330902	142.698776	253.575943	255.289047	233.149445
22.969049	22.35652	23.48877	12.651655	12.853875	11.881733	14.107693	18.430059	14.682918	20.998322	21.601444	20.461098
59.399834	56.579365	58.616825	59.261589	63.655453	59.332413	62.917362	51.485966	49.324127	73.391533	71.656837	73.907715
152.483124	137.060089	128.833649	102.453346	89.978615	95.66922	84.327667	78.390854	82.463295	66.05648	64.988789	57.931488
34.282085	34.356461	36.639278	30.704285	33.461918	31.253525	36.815773	30.939581	30.515255	38.714592	35.027447	38.917797
13.624968	14.902949	14.887012	16.223887	13.904035	16.505053	21.546122	20.611446	18.753136	22.267162	22.44013	21.589664
14.302568	12.741603	11.618273	12.920604	12.124146	13.727435	19.04899	19.311371	16.732101	27.604979	27.300148	27.599928
12.029009	12.744711	15.314718	15.563866	18.004719	17.578825	20.296549	20.940241	16.722132	25.95117	26.035782	20.790987
42.231644	48.314373	50.205456	40.127296	48.242352	48.320068	37.309216	29.081629	31.492407	59.352093	64.887012	52.860615
47.26437	46.400383	43.832043	40.430416	37.178928	39.985516	37.437859	50.594345	45.786583	53.389595	54.903469	54.935352
19.599339	27.710157	24.673189	38.349171	38.039703	42.128063	29.221439	25.160889	26.310947	45.251469	43.407711	44.371574
4.990537	5.602803	5.938677	8.3432	7.560714	8.981858	11.948483	11.224601	7.230436	9.393115	14.436223	13.446061
45.994583	40.703377	39.408871	36.072365	35.348053	37.427181	38.387611	42.960796	38.145111	35.176384	34.333569	34.443878
13.76043	16.87665	16.610525	14.467728	18.465054	20.100887	33.7882	28.473223	24.972279	28.390892	25.703501	32.078787
82.985825	91.984688	91.855003	85.935173	101.044098	106.619728	106.328049	104.896744	99.727417	90.865509	96.136002	104.990028
28.55217	27.111128	31.721247	29.2873	34.969563	32.395353	34.862801	34.807766	32.352417	37.724983	43.432259	36.407295
46.020321	46.468067	50.425106	45.747349	42.457397	46.379879	41.62315	33.176323	28.307163	53.874447	57.94223	57.529354
266.915924	267.499817	339.927094	250.607529	215.761475	224.318283	92.724182	44.786526	51.815094	215.900406	231.65477	218.918549
162.946228	178.36235	193.857193	281.337555	290.956451	272.565643	246.417389	235.822617	248.929062	214.896149	205.424911	212.559113
