ZT8_1	ZT8_2	ZT16_1	ZT16_2	t10C_1	t10C_2	t10C_3	t14C_1	t14C_2	t14C_3	t20C_1	t20C_2	t20C_3	t26C_1	t26C_2	t26C_3
19.6279536394586	21.8410934829143	24.017940404611	25.3700059838641	36.9251320248602	39.5700886163338	31.034861569474	36.4961636227246	39.5277543931499	40.6058499924957	46.762779732936	32.030437743399	38.8731988407704	23.1824003770653	22.8586818172065	38.2797388761401
354.931119149714	303.385319988465	362.076607310886	320.746223089494	478.375519787134	438.957135256436	452.126639352551	494.808283141853	499.433861952326	369.959760456408	629.602627164913	617.324217438976	628.653235807265	1045.34740975224	1043.39842280586	767.959774071702
90.1480638459805	83.9854449592405	104.442069529156	89.3779735077482	75.2157048414807	80.4730454957524	91.5573715662531	92.8172866153829	94.2857045345953	142.747252604722	102.059471910234	105.776415309301	111.099782503652	235.955984793876	246.659497486953	153.607118206422
15.1927265824447	12.3678691724987	9.87438666201871	13.9190393167472	20.9584066804779	15.7748323328698	17.6021847871464	23.1698197597729	26.331240093134	21.1503447330241	25.1525781923829	22.6823560801157	21.5557138689683	17.8586242865696	14.2355321095012	19.3128541847706
19.1844309337572	16.1571588966649	15.4208783257804	17.4424136758601	28.941769352669	31.1717628692289	24.5449166072258	31.6465155502743	27.2413445276179	25.7826078900412	31.5085198219574	28.3950726521222	29.299304710018	15.9065730533879	14.6366088400921	24.1090778998296
91.9221546687861	79.438297290241	91.9624632856917	80.569537609966	129.177322903514	116.865790399874	114.800430268258	119.714494412166	123.864098655321	74.4213710387202	130.025615080361	132.522315623696	137.568783923968	164.262466775201	164.639306081105	161.455484285609
17.4103401109516	14.6414430069984	14.03425540984	10.1020504277083	26.4284885114237	19.9739952064223	23.3374849863424	25.6150204685714	24.3593471517523	14.2019499974986	27.6949548442127	28.9144105223046	24.2307725231491	17.1487874745035	21.8559899907291	22.8010168866317
1230.00141749857	1395.45861849317	1395.94265343607	1453.51107954429	1504.82898336164	1624.36526200521	1785.43300671302	1431.40166130196	1516.02051527079	1200.52454450956	1412.65463592849	1273.24794747936	1367.53259460415	1909.21881003667	1901.70262627049	1325.19376569401
132.282720887613	101.416177690405	129.955931182459	120.794728209838	166.433015373739	163.67868021244	152.834526326084	166.295567914777	172.099633682965	142.978865762572	212.017262101872	229.768331815352	216.975788184914	396.734022726845	363.372826088918	300.109951684586
99.4620406657098	78.6804393454078	91.4078141193156	84.9737555588571	78.6160259796362	84.2056347166879	91.859229471474	103.453909698656	100.20138335874	143.210478920423	120.491702636	113.176979959401	127.854097232469	226.373187830984	233.022888646861	152.953087699823
227.196579907712	213.958082498142	198.455103229916	199.777036759952	307.176742483479	286.232026299824	284.142715097151	284.765542256064	277.520064010679	304.644849942467	311.169951523233	319.354114421818	347.349699436041	539.233762749113	527.814285631206	432.660134355307
155.789424289787	113.541904807737	123.022816602757	126.079789748507	231.630477196633	231.487384392769	215.017254801578	259.498468265146	250.065246903749	274.071913106155	373.458179493063	361.290647439048	381.280706575914	531.780476222419	489.310919494475	448.574876682548
64.867269621001	46.8504056624114	66.448601632388	49.7400119677282	88.2256291961626	81.5617173518586	77.3700500208735	91.7984529867169	86.8531849863105	66.0832973560895	101.423877747276	108.502939127759	106.17204287753	124.866523705533	117.312251871374	112.185186121821
34.7077256333061	35.8614654623293	32.6150024834416	25.9572350437163	40.3254531630157	40.1921868198231	38.7322381526055	45.4618995549857	40.8929110448757	52.8813473585909	49.3051563847658	50.4669321348746	54.9235507658552	57.9644041683037	60.9609712233462	52.8864201901834
65.3107923267024	56.7025589452436	46.758556226034	54.1442299166194	93.9913911260784	74.5631125626045	77.3700500208735	97.0556345106336	100.808119648396	124.218199976653	107.144225213893	111.359297413762	122.7855650456	148.291138503714	144.184392820967	120.469572538742
17.4103401109516	11.2310822552488	11.8156587443353	8.63397777807792	19.0364860371726	14.9972095785082	15.7910373558213	16.3232577751371	18.5953524000212	2.15806578925426	19.4322307257659	19.1768254563844	23.9491874016564	20.343053128801	22.0565283560246	19.5308643536369
11.2010222311321	15.7782299242483	12.9249570770876	12.1573521371908	19.6278462351127	20.1295197572946	16.6966110714839	21.4989326087606	22.6908223551986	10.4961394718849	26.4237665182978	19.5663288590212	19.0214477755339	19.8106755197514	17.4441459542287	21.7109660423001
